year,wind_IME_ratio,solar_IME_ratio,coal_IME_ratio,generation_IME_ratio
2011,0.3891557996,0,0.2669864109,0.2669864109
2012,0.413467218,0.102,0.2743622449,0.2743622449
2013,0.4070446614,0.047,0.2798161667,0.2798161667
2014,0.3869142857,0.11,0.2763726473,0.2763726473
2015,0.3628865979,0.123,0.2634606136,0.2634606136
2016,0.3581948458,0.179,0.2609409039,0.2609409039
2017,0.363670412,0.201,0.2717740572,0.2717740572
2018,0.3531054955,0.191,0.2672035621,0.2672035621
2019,0.3438356164,0.228,0.2619562957,0.2619562957
2020,0.3293393772,0.213,0.2550301585,0.2550301585
2021,0.323063329,0.203,0.2478748398,0.2478748398
2022,0.313850394,0.226,0.2394128087,0.2394128087
2023,0.296182794,0.174,0.2266270806,0.2266270806
2024,,,0.2010037736,0.2010037736